post_id,datetime,platform,country,language,topic,sentiment_polarity,sentiment_category,sentiment_intensity,emotion,engagement_likes,engagement_shares,engagement_comments,influencer_level,keywords,risk_flag
P00001,2025-06-05 03:56:41,Instagram,Mexico,Spanish,Repayment,-0.25,Negative,Low,Disgust,3122,676,278,Medium,bad service,0
P00002,2025-02-22 14:50:25,LinkedIn,Ghana,Twi,Repayment,0.9,Positive,High,Anticipation,4575,663,705,Low,great rates,0
P00003,2025-02-05 20:33:30,TikTok,Ghana,English,Repayment,0.46,Positive,Medium,Disgust,1797,289,197,Low,excellent service,1
P00004,2025-06-24 23:52:32,Twitter,Botswana,Swahili,Repayment,0.2,Positive,Low,Surprise,2131,150,348,High,great rates,0
P00005,2025-03-26 09:43:46,LinkedIn,Mexico,Swahili,Customer Support,-0.69,Negative,High,Anticipation,815,854,420,High,fraud,0
P00006,2025-03-20 13:16:43,TikTok,Zambia,Twi,Mobile App,-0.69,Negative,High,Anticipation,2694,607,304,Low,fraud,1
P00007,2025-03-16 08:14:14,Twitter,Ghana,Twi,Loan Application,-0.88,Negative,High,Fear,442,369,63,Low,bad service,0
P00008,2025-02-28 02:17:37,Instagram,Colombia,English,Savings Product,0.73,Positive,High,Surprise,3140,704,289,Medium,fast process,0
P00009,2025-06-24 00:12:16,Instagram,Tanzania,English,Mobile App,0.2,Positive,Low,Disgust,142,825,17,High,great rates,0
P00010,2025-02-20 21:39:43,TikTok,Mexico,Twi,Repayment,0.42,Positive,Medium,Surprise,4287,1004,63,Low,great rates,0
P00011,2025-06-12 09:38:53,LinkedIn,Colombia,Swahili,Interest Rates,-0.96,Negative,High,Surprise,1410,376,329,Low,slow approval,0
P00012,2025-06-24 19:45:42,Twitter,South Africa,Spanish,Repayment,0.94,Positive,High,Fear,4473,972,762,Low,fast process,0
P00013,2025-07-24 05:51:29,Instagram,Colombia,Spanish,Loan Application,0.66,Positive,High,Surprise,534,117,16,Low,helpful staff,0
P00014,2025-05-17 21:35:32,TikTok,South Africa,Swahili,Loan Application,-0.58,Negative,Medium,Surprise,1716,1028,442,High,hidden fees,0
P00015,2025-02-17 21:09:51,Facebook,South Africa,Swahili,Savings Product,-0.64,Negative,Medium,Anger,3364,443,140,Low,fraud,0
P00016,2025-05-26 15:53:40,LinkedIn,Colombia,Twi,Savings Product,-0.63,Negative,Medium,Surprise,1032,754,307,Low,high interest,0
P00017,2025-04-23 22:17:53,Facebook,South Africa,English,Repayment,-0.39,Negative,Medium,Anger,3342,639,443,Low,bad service,0
P00018,2025-02-07 04:07:04,LinkedIn,Colombia,Swahili,Customer Support,0.05,Neutral,Low,Anticipation,1410,123,495,High,customer support,0
P00019,2025-02-06 18:51:54,Twitter,Tanzania,Twi,Savings Product,-0.14,Negative,Low,Fear,4500,657,425,Low,fraud,0
P00020,2025-02-19 04:39:05,TikTok,Tanzania,Twi,Customer Support,-0.42,Negative,Medium,Fear,1172,821,474,Medium,hidden fees,0
P00021,2025-03-15 10:55:36,Twitter,South Africa,English,Savings Product,0.22,Positive,Low,Surprise,888,663,244,Low,loan approved,0
P00022,2025-03-18 04:16:42,Facebook,Tanzania,English,Mobile App,-0.72,Negative,High,Surprise,3338,359,449,High,hidden fees,0
P00023,2025-05-10 03:07:34,TikTok,Botswana,Swahili,Repayment,-0.42,Negative,Medium,Sadness,4517,622,350,Medium,hidden fees,0
P00024,2025-05-28 21:36:38,Twitter,Botswana,Swahili,Savings Product,-0.27,Negative,Low,Surprise,1641,1080,598,Medium,bad service,0
P00025,2025-02-06 03:39:59,Twitter,Colombia,Spanish,Loan Application,-0.09,Negative,Low,Fear,471,918,710,Medium,slow approval,1
P00026,2025-05-20 23:35:29,Twitter,Zambia,Twi,Repayment,0.57,Positive,Medium,Surprise,2940,1173,160,Low,excellent service,0
P00027,2025-03-11 14:39:02,Facebook,Mexico,Spanish,Mobile App,-0.6,Negative,Medium,Anticipation,546,451,139,High,bad service,0
P00028,2025-06-20 00:53:35,Twitter,Mexico,Swahili,Mobile App,0.03,Neutral,Low,Surprise,4726,1185,492,Low,customer support,0
P00029,2025-06-07 04:40:51,Instagram,Mexico,Spanish,Loan Application,0.18,Positive,Low,Joy,3597,119,587,Medium,helpful staff,0
P00030,2025-06-17 04:24:40,LinkedIn,Colombia,Twi,Repayment,-0.91,Negative,High,Trust,2825,581,530,High,fraud,0
P00031,2025-05-17 19:36:40,Instagram,South Africa,Swahili,Customer Support,0.22,Positive,Low,Trust,3723,98,392,High,fast process,0
P00032,2025-04-23 11:06:14,Facebook,Zambia,Swahili,Loan Application,-0.66,Negative,High,Fear,363,1190,400,High,slow approval,0
P00033,2025-03-15 19:19:39,Facebook,Colombia,English,Interest Rates,-0.87,Negative,High,Joy,2166,513,49,Medium,slow approval,0
P00034,2025-04-29 05:27:57,Twitter,South Africa,English,Repayment,0.9,Positive,High,Disgust,3309,663,743,Low,great rates,0
P00035,2025-05-26 10:10:37,TikTok,South Africa,Spanish,Savings Product,0.93,Positive,High,Anticipation,545,400,294,Low,fast process,0
P00036,2025-03-27 00:27:45,Instagram,Botswana,English,Mobile App,0.62,Positive,Medium,Trust,3240,364,424,Medium,excellent service,0
P00037,2025-07-08 04:13:09,Facebook,Botswana,Spanish,Loan Application,-0.39,Negative,Medium,Sadness,4729,580,11,Low,slow approval,0
P00038,2025-07-19 19:13:59,LinkedIn,Tanzania,English,Loan Application,-0.8,Negative,High,Fear,1936,620,334,Low,fraud,0
P00039,2025-02-02 06:17:11,Facebook,Ghana,English,Repayment,0.37,Positive,Medium,Surprise,962,827,14,High,great rates,0
P00040,2025-06-28 08:17:55,Instagram,Zambia,English,Repayment,-0.12,Negative,Low,Anger,3005,246,27,High,high interest,0
P00041,2025-07-07 11:23:23,LinkedIn,Ghana,Twi,Loan Application,-0.76,Negative,High,Fear,3806,433,387,Medium,hidden fees,0
P00042,2025-03-04 00:03:58,LinkedIn,Zambia,Spanish,Repayment,-0.01,Neutral,Low,Trust,882,1116,291,Medium,interest rate,0
P00043,2025-06-16 13:33:55,Twitter,Tanzania,English,Mobile App,-0.93,Negative,High,Anger,3840,614,249,High,fraud,1
P00044,2025-04-24 01:31:33,TikTok,South Africa,English,Loan Application,0.82,Positive,High,Joy,870,942,504,Low,fast process,1
P00045,2025-04-08 01:40:56,LinkedIn,South Africa,Twi,Mobile App,-0.48,Negative,Medium,Sadness,4611,962,97,Low,hidden fees,0
P00046,2025-03-26 22:58:27,Twitter,Tanzania,Spanish,Repayment,0.33,Positive,Medium,Trust,2985,623,336,Medium,helpful staff,0
P00047,2025-03-03 04:35:13,TikTok,Botswana,Swahili,Savings Product,-0.38,Negative,Medium,Joy,865,320,38,Low,fraud,0
P00048,2025-03-14 19:26:05,Twitter,Mexico,Swahili,Repayment,0.04,Neutral,Low,Trust,4309,855,37,High,mobile app,0
P00049,2025-06-29 06:08:25,Facebook,Mexico,Swahili,Customer Support,0.09,Positive,Low,Anger,3203,61,299,Low,great rates,0
P00050,2025-04-07 08:38:39,Facebook,Colombia,English,Savings Product,-0.63,Negative,Medium,Sadness,2897,299,178,Low,high interest,0
P00051,2025-02-20 20:20:03,TikTok,Botswana,Spanish,Interest Rates,0.94,Positive,High,Joy,2244,402,608,Medium,excellent service,0
P00052,2025-02-19 00:13:37,Twitter,Tanzania,Twi,Savings Product,0.55,Positive,Medium,Sadness,18,954,468,High,great rates,0
P00053,2025-04-15 18:35:22,Instagram,Zambia,Swahili,Interest Rates,0.88,Positive,High,Disgust,641,252,281,Low,loan approved,0
P00054,2025-02-19 18:43:51,Twitter,Botswana,Spanish,Savings Product,0.79,Positive,High,Surprise,3083,477,749,Medium,loan approved,0
P00055,2025-04-11 16:57:54,Instagram,Tanzania,Spanish,Interest Rates,0.2,Positive,Low,Disgust,329,159,163,Low,great rates,1
P00056,2025-07-15 13:36:36,LinkedIn,Colombia,Spanish,Interest Rates,0.84,Positive,High,Fear,865,960,452,Medium,loan approved,0
P00057,2025-04-08 18:56:59,LinkedIn,Zambia,Twi,Interest Rates,-0.82,Negative,High,Surprise,773,1189,96,Medium,slow approval,0
P00058,2025-05-29 05:34:02,LinkedIn,Mexico,Twi,Customer Support,-0.61,Negative,Medium,Anticipation,4487,204,768,Low,slow approval,0
P00059,2025-03-24 08:45:23,Twitter,Mexico,Twi,Mobile App,-0.91,Negative,High,Disgust,4732,1161,308,Low,bad service,0
P00060,2025-07-07 17:29:25,TikTok,Zambia,English,Repayment,-0.35,Negative,Medium,Disgust,2354,857,261,High,fraud,0
P00061,2025-02-09 10:29:37,Instagram,Zambia,English,Interest Rates,-0.22,Negative,Low,Sadness,3338,759,292,High,hidden fees,0
P00062,2025-06-22 16:47:47,Twitter,Ghana,Spanish,Interest Rates,-0.46,Negative,Medium,Trust,3518,720,769,High,fraud,0
P00063,2025-05-01 05:04:30,LinkedIn,Ghana,Swahili,Savings Product,0.66,Positive,High,Trust,2942,1040,248,Low,loan approved,0
P00064,2025-05-16 03:00:14,Facebook,Ghana,Twi,Interest Rates,-0.29,Negative,Low,Joy,2567,67,244,Low,slow approval,0
P00065,2025-02-25 05:43:55,LinkedIn,South Africa,Spanish,Repayment,-0.44,Negative,Medium,Fear,1674,132,250,Medium,high interest,0
P00066,2025-07-30 02:12:28,TikTok,Botswana,Spanish,Mobile App,0.09,Positive,Low,Joy,2683,918,122,Medium,loan approved,0
P00067,2025-04-15 12:05:53,LinkedIn,Colombia,Twi,Mobile App,-0.72,Negative,High,Joy,3380,429,324,Low,fraud,0
P00068,2025-02-16 07:14:07,TikTok,Mexico,English,Repayment,0.6,Positive,Medium,Surprise,739,307,680,High,loan approved,1
P00069,2025-05-19 04:41:44,Facebook,Zambia,Spanish,Interest Rates,-0.85,Negative,High,Surprise,1545,649,500,High,slow approval,0
P00070,2025-03-29 22:18:35,Instagram,Botswana,Spanish,Mobile App,0.97,Positive,High,Anticipation,4564,1197,686,High,helpful staff,0
P00071,2025-07-12 01:18:21,LinkedIn,South Africa,Twi,Customer Support,0.54,Positive,Medium,Surprise,2259,411,780,Medium,great rates,0
P00072,2025-06-03 01:40:25,TikTok,Tanzania,Swahili,Customer Support,-0.6,Negative,Medium,Anticipation,1135,96,715,Medium,bad service,0
P00073,2025-06-01 02:30:39,Instagram,Colombia,Spanish,Customer Support,-0.99,Negative,High,Anger,873,1177,65,High,high interest,0
P00074,2025-07-22 22:30:15,Facebook,South Africa,English,Interest Rates,0.63,Positive,Medium,Trust,4555,1050,58,Low,helpful staff,0
P00075,2025-07-18 07:50:42,TikTok,South Africa,Swahili,Repayment,0.41,Positive,Medium,Fear,2300,1083,730,High,excellent service,0
P00076,2025-04-12 05:20:28,Facebook,Tanzania,Swahili,Savings Product,0.46,Positive,Medium,Joy,751,201,497,Medium,loan approved,1
P00077,2025-05-24 02:39:21,Facebook,South Africa,Twi,Loan Application,0.54,Positive,Medium,Joy,853,761,372,High,great rates,0
P00078,2025-03-10 08:07:47,Twitter,South Africa,English,Repayment,-0.85,Negative,High,Trust,3732,873,265,Low,fraud,0
P00079,2025-06-17 19:32:33,Instagram,Ghana,Spanish,Mobile App,-0.28,Negative,Low,Disgust,2283,580,652,Low,fraud,0
P00080,2025-02-14 12:09:01,Twitter,Botswana,Twi,Customer Support,-0.77,Negative,High,Anger,1329,369,235,Low,bad service,0
P00081,2025-02-09 21:33:25,Facebook,Tanzania,English,Mobile App,0.73,Positive,High,Trust,477,532,217,High,great rates,0
P00082,2025-06-09 09:42:37,TikTok,Tanzania,Spanish,Interest Rates,0.25,Positive,Low,Anger,2726,1175,526,Low,fast process,0
P00083,2025-03-17 06:04:58,LinkedIn,Botswana,English,Mobile App,-0.34,Negative,Medium,Fear,3091,1125,440,Low,fraud,0
P00084,2025-07-01 02:45:34,Twitter,Tanzania,Twi,Loan Application,-0.87,Negative,High,Sadness,4230,898,649,Low,hidden fees,0
P00085,2025-03-29 04:38:44,LinkedIn,Zambia,Swahili,Interest Rates,-0.38,Negative,Medium,Disgust,4505,606,405,Medium,slow approval,0
P00086,2025-02-16 11:51:27,Twitter,Botswana,English,Loan Application,-0.35,Negative,Medium,Anticipation,1269,872,743,Low,high interest,0
P00087,2025-07-17 02:04:10,Instagram,Botswana,Swahili,Savings Product,0.46,Positive,Medium,Disgust,4181,1148,600,High,fast process,0
P00088,2025-03-18 04:53:02,LinkedIn,Colombia,Spanish,Repayment,0.28,Positive,Low,Anticipation,2603,769,588,Medium,fast process,0
P00089,2025-07-19 06:06:23,Twitter,Botswana,Swahili,Loan Application,0.77,Positive,High,Fear,1469,833,647,High,fast process,0
P00090,2025-02-20 14:42:02,Facebook,Tanzania,English,Repayment,-0.06,Negative,Low,Disgust,377,998,468,Medium,hidden fees,0
P00091,2025-04-15 19:30:59,TikTok,Mexico,English,Savings Product,-0.76,Negative,High,Disgust,1680,937,109,Low,fraud,0
P00092,2025-03-26 23:27:03,Facebook,Colombia,English,Savings Product,0.43,Positive,Medium,Sadness,241,235,352,Medium,fast process,1
P00093,2025-04-30 01:02:42,Instagram,Zambia,Twi,Interest Rates,0.52,Positive,Medium,Joy,919,161,90,Low,helpful staff,0
P00094,2025-06-04 10:30:15,Instagram,Colombia,Spanish,Loan Application,0.12,Positive,Low,Anticipation,69,553,413,High,helpful staff,0
