Platform,Date,Customer_ID,Message_Content,Sentiment_Score,Keywords,Sentiment_Category,Is_Launch_Period
Facebook,2025-08-08,d6d84ce7-78fb-47e3-a3c3-6055446d73bf,Together its election age save whom authority thus both measure those.,-0.82,payment issues,Negative,Post-Launch
Facebook,2025-08-12,76eb9298-53c8-497e-a302-f7fc7392bef3,Down Democrat nothing easy sell Congress reason operation.,-0.58,account balance,Negative,Post-Launch
Instagram,2025-07-24,66f4a19d-31a9-48b9-a71e-c6c35f30221e,Sit public type specific person threat more company technology sister.,-0.9,application status,Negative,Pre-Launch
Instagram,2025-08-12,c5006ce8-02d7-4c8e-bba8-828a8d6b5c6a,Consider read politics spend suggest wide do relate of lose purpose man data.,-0.33,application status,Negative,Post-Launch
Website,2025-07-29,62eefa5b-2cb5-4b16-804b-c06289ee832e,Poor road environmental explain cause dog onto.,-0.59,interest rates,Negative,Pre-Launch
Instagram,2025-07-29,fe258bf7-a586-484b-9dcc-449e2fd7c533,Yard through claim reveal plant international might laugh care.,-0.53,interest rates,Negative,Pre-Launch
Instagram,2025-07-19,07632ac9-8969-44b4-957b-2bf3a8158d62,Scene field next federal per live maintain season most Mrs why finally vote.,-0.45,account balance,Negative,Pre-Launch
Website,2025-07-28,91329071-2b52-4a49-a4f6-ce7afd873038,Billion window behind huge every get really sing cell.,-0.78,customer service,Negative,Pre-Launch
WhatsApp,2025-08-02,40d4f8af-1355-488f-95a3-ce9c62345bb3,Important throw American hear speak charge seat show.,-0.74,loan approval,Negative,Post-Launch
Instagram,2025-07-23,c9410fe2-c4b3-493e-a43d-5ed84045e792,Question day cover indicate must become dream than especially civil agency ability so.,-0.28,payment issues,Negative,Pre-Launch
Facebook,2025-07-23,41098a33-a8fb-4ea5-bb13-7ef364e01de9,Stand you learn former Republican national which look.,-0.97,payment issues,Negative,Pre-Launch
Facebook,2025-08-10,5af87532-174c-486e-b3fb-b7cf289566e8,Herself charge describe relationship ever expert central skill.,-0.47,payment issues,Negative,Post-Launch
Website,2025-08-07,f39484c8-2710-475c-b95f-da0e5d4e173e,Perform figure social reality free end somebody side culture.,-0.75,customer service,Negative,Post-Launch
Facebook,2025-07-15,929d86aa-c080-4725-b088-d55a0a1a021d,Ten herself society floor may whether movement name detail per either brother move.,-0.16,account balance,Negative,Pre-Launch
WhatsApp,2025-07-23,ff34d7b8-e199-4422-800d-8d7e2c1f42d9,Space nature let outside society resource.,-0.77,customer service,Negative,Pre-Launch
WhatsApp,2025-07-16,63ab1a00-2e8d-4e25-a548-364e4218bce1,Itself final likely message quite according whatever water evidence my.,-0.87,interest rates,Negative,Pre-Launch
WhatsApp,2025-07-18,edab6231-1570-4570-836f-074e66a729aa,National huge nearly building about just hair hot term writer man north can.,-0.1,customer service,Negative,Pre-Launch
Facebook,2025-07-28,c58b3e4e-16b6-47b6-b522-c12da50cb92f,Serious receive physical seem million so capital ask sister let tough deep listen.,-0.28,interest rates,Negative,Pre-Launch
Facebook,2025-07-21,7aba2c6a-a9cf-4bb9-a058-756d7bfe8ae7,Wear travel space education news build focus drug.,-0.1,loan approval,Negative,Pre-Launch
Website,2025-07-21,c317017c-5d65-4a1e-a689-fd508ff6dbbc,Attack professional against know find watch ground resource realize.,-0.56,account balance,Negative,Pre-Launch
Facebook,2025-08-09,e6fa0d09-f57f-42f9-924f-86d934414e88,Look between manager especially fire address case would affect.,-0.4,customer service,Negative,Post-Launch
Instagram,2025-08-12,c022e994-220b-4a97-96a3-6f21453771c5,Now success spring difference already surface fast off simply room open main someone.,-0.94,interest rates,Negative,Post-Launch
Instagram,2025-07-24,35db70cf-e69b-4b2e-b649-32a8588f04a4,Claim institution single arm television call concern significant represent hair break smile.,-0.15,payment issues,Negative,Pre-Launch
Facebook,2025-08-07,7b9c01f1-79d7-4deb-a9ee-5443ac205efd,Today kitchen time could experience one.,-0.78,payment issues,Negative,Post-Launch
WhatsApp,2025-07-19,428cb759-c42f-4cd5-a589-b4abce284a97,Hard yourself its push whom glass scientist maybe.,-0.11,loan approval,Negative,Pre-Launch
WhatsApp,2025-08-02,d19d6bbe-d6a9-454a-96bd-7040831e578e,Similar she final sound whom along she black price glass along adult go.,-0.36,payment issues,Negative,Post-Launch
Instagram,2025-07-17,b036c4d1-9724-442d-acd6-a283c4f87103,That head person have discussion major believe range ahead fight.,-0.7,application status,Negative,Pre-Launch
WhatsApp,2025-07-24,cc2021a3-00b0-47f8-83c1-fd9b736a5b64,Instead nearly always day perform these six within.,-0.75,application status,Negative,Pre-Launch
Facebook,2025-07-25,069fb32c-3602-4a50-b4fc-46a62c4223cf,Hospital both from dark goal enter newspaper heavy beyond blood.,-0.24,customer service,Negative,Pre-Launch
Instagram,2025-07-27,16c72ca1-da11-46b0-b49d-3df256464b08,Certain street cultural memory design history help cover ever leader interest grow know.,-0.41,interest rates,Negative,Pre-Launch
Website,2025-08-03,03669bf0-62e9-408a-be36-1e3c00e4ad0b,Sell practice reason realize describe music social because cost.,-0.14,customer service,Negative,Post-Launch
WhatsApp,2025-07-24,b09240f3-8710-494c-8732-27c2728941e1,Remember certain step should position well everyone million pay economy manage change.,-0.77,application status,Negative,Pre-Launch
Facebook,2025-08-12,14602f73-925d-418e-b893-f4367a84f1d1,Point shake method leave reality identify common.,-0.14,application status,Negative,Post-Launch
Website,2025-07-30,66719203-0b8c-49e3-b320-07bc60dfe6ab,Success over but audience of will perform history good four.,-0.17,application status,Negative,Pre-Launch
Facebook,2025-07-24,12dcc56b-c928-47df-bca9-aa3e2ebe611c,Month nearly reason tree authority here impact throw good matter eye join.,-0.2,account balance,Negative,Pre-Launch
WhatsApp,2025-08-07,441de914-8ef7-479c-b245-a5a6a5e0d17d,Care more believe culture poor develop customer.,-0.37,payment issues,Negative,Post-Launch
Instagram,2025-08-09,d115b30b-6e17-438a-97c7-1ed4eca7fa49,Leg involve audience eye financial dark building process four church.,-0.37,interest rates,Negative,Post-Launch
Website,2025-07-26,3646a719-0886-4f9d-a136-f90f2255b0ca,Thing important early value statement theory deal ground expert own go matter away.,-0.49,interest rates,Negative,Pre-Launch
WhatsApp,2025-08-02,c3c7c725-4eaf-4d6a-b7bf-43e6e2cd870b,Foreign deal whether name theory nearly man may.,-0.82,application status,Negative,Post-Launch
Instagram,2025-08-08,29618f99-d568-49e2-bfee-84f016a9d517,Protect method white building ago note tell fight method compare exist tell.,-0.83,interest rates,Negative,Post-Launch
Instagram,2025-07-27,73fa76b0-b553-48c3-87ca-85f049448a7f,Allow by low action name capital think book their safe again skin.,-0.14,interest rates,Negative,Pre-Launch
Website,2025-07-17,b2bab772-c499-4361-bc81-e6bf992c39c5,Either radio economy magazine account world side heart senior wait.,-0.25,interest rates,Negative,Pre-Launch
Website,2025-08-10,f68945bd-11b4-4ba3-8cf7-67f7a0a7a59b,Nature read development simple listen imagine reduce.,-0.74,payment issues,Negative,Post-Launch
WhatsApp,2025-07-18,6f96e2b5-2408-4755-af43-5d397d72d50a,Either free radio begin majority administration think us.,-0.88,account balance,Negative,Pre-Launch
Facebook,2025-07-16,fc067ee5-86d4-4b87-842a-92bd50b068fd,Mean because professional half old add weight despite oil.,-0.18,account balance,Negative,Pre-Launch
Instagram,2025-07-25,415f7a99-a0b5-4387-873d-8b1957043d32,Contain head edge forget cold American.,-0.15,interest rates,Negative,Pre-Launch
Website,2025-08-03,d98e6a35-17ce-43cd-8004-4520903db406,Different thing single pretty finish only work remember mother who social.,-0.9,account balance,Negative,Post-Launch
Facebook,2025-08-11,dd243f58-5cdb-4ef6-93f8-bfebf28ea5a3,Particular after debate list throw news dinner.,-0.42,loan approval,Negative,Post-Launch
Website,2025-07-21,f2406361-a3be-4f24-9a9b-be63b48190b0,Or leader wait eye investment pretty major radio put range while author.,-0.38,payment issues,Negative,Pre-Launch
Website,2025-07-26,06b557ea-08e6-4a70-b2c3-52be17841351,Cost international age blood suffer ten example as represent per character newspaper around.,-0.79,customer service,Negative,Pre-Launch
WhatsApp,2025-08-11,836c2a58-ef8d-4831-8b69-7c6ad8b12dab,Term compare could discuss ability long risk without network.,-0.69,customer service,Negative,Post-Launch
WhatsApp,2025-07-20,242ae6e9-53be-4903-acd0-1adc093e4098,Home present their involve people safe soldier however way stay little include.,-0.3,payment issues,Negative,Pre-Launch
Facebook,2025-07-26,2e29d030-15fd-4896-a4d0-b3c4bd0a37a3,Believe reach mention shake one top safe.,-0.77,payment issues,Negative,Pre-Launch
WhatsApp,2025-07-24,03e6104f-ce19-4469-a6d1-ebef42b3b939,Throw away than they day rest prevent laugh message evidence force score.,-0.44,application status,Negative,Pre-Launch
Website,2025-07-24,284bebb3-c1dc-4989-80c0-8c8f96e935f1,Later field manager huge board start role chance.,-0.55,account balance,Negative,Pre-Launch
Instagram,2025-07-19,3e248c4c-6a40-4a4d-933a-e30844fba6e0,Professor collection of game direction able region young authority.,-0.14,interest rates,Negative,Pre-Launch
WhatsApp,2025-08-02,8073e47d-cd0e-4770-abd4-f2ecbfb186c4,Yes radio often green role with.,-0.94,payment issues,Negative,Post-Launch
Instagram,2025-07-23,bc6b3031-8e08-4964-b9ba-dc00fad7dfa1,Power himself perhaps yard sit best economy one.,-0.45,application status,Negative,Pre-Launch
Website,2025-08-02,6f90f179-7cba-4b93-b604-b422288ad64b,Stuff hand more without skill analysis ball rather back hospital threat social.,-0.3,interest rates,Negative,Post-Launch
Facebook,2025-07-20,013a0d8d-a58b-4677-910f-a80333d85fd9,Ten actually reflect here his thousand matter.,-0.64,account balance,Negative,Pre-Launch
Facebook,2025-07-27,59422d29-ebf1-4687-8bf0-22a34fc184e2,Coach development child early weight out perform drive join face stuff anything however.,-0.71,application status,Negative,Pre-Launch
WhatsApp,2025-07-17,fda3fe76-d7c0-4aa2-bdce-5b63ac99cc24,Summer call probably vote talk cut enough very none budget deal cover.,-0.86,application status,Negative,Pre-Launch
Instagram,2025-07-24,574fa892-19ff-40b6-93e8-54070cfebfdd,Big trip blood next letter though admit.,-0.82,customer service,Negative,Pre-Launch
Facebook,2025-08-11,9fe6ce1e-00bd-436d-8d96-2539ce23ed22,Production describe wrong remain rate dog hospital bring phone.,-0.25,interest rates,Negative,Post-Launch
Facebook,2025-07-19,a0047a34-c180-426e-9aca-f64234925af6,Give option case understand technology fish oil fire.,-0.69,customer service,Negative,Pre-Launch
Instagram,2025-07-15,3264b716-aa9a-463b-9042-7d4c64ce8389,Important any establish brother increase hear next decade.,-0.38,application status,Negative,Pre-Launch
Instagram,2025-07-23,26e50fe6-279e-4275-b362-e4da154bdd68,Away career happy group while left cell clearly high what last media play.,-0.35,payment issues,Negative,Pre-Launch
Website,2025-08-01,9320e643-beed-4d49-a9a2-5d294fb14293,Politics from build seat father establish low model network.,-0.69,application status,Negative,Launch
Instagram,2025-08-10,3071297d-0926-42ff-bfba-26c9b2e293e2,Common spend create attention late any kitchen.,-0.9,payment issues,Negative,Post-Launch
WhatsApp,2025-08-01,86b94328-cfc9-48b9-b342-2df9a2e8ae62,Participant produce middle blue occur maintain need million check month somebody next.,-0.84,loan approval,Negative,Launch
