Platform,Date,Customer_ID,Message_Content,Sentiment_Score,Keywords
Facebook,2025-08-08,d6d84ce7-78fb-47e3-a3c3-6055446d73bf,Together its election age save whom authority thus both measure those.,-0.82,payment issues
Facebook,2025-08-12,76eb9298-53c8-497e-a302-f7fc7392bef3,Down Democrat nothing easy sell Congress reason operation.,-0.58,account balance
WhatsApp,2025-08-09,11be33d5-3dd6-4692-8739-f6d1379253ca,Never common side realize our majority outside sure clear institution word fall cell mean.,0.28,loan approval
Instagram,2025-08-11,f6e8dedb-753f-44cc-9d5e-9d86c47445e3,Research same effort world success interest lead people.,0.94,interest rates
Instagram,2025-07-24,66f4a19d-31a9-48b9-a71e-c6c35f30221e,Sit public type specific person threat more company technology sister.,-0.9,application status
Instagram,2025-08-12,c5006ce8-02d7-4c8e-bba8-828a8d6b5c6a,Consider read politics spend suggest wide do relate of lose purpose man data.,-0.33,application status
Facebook,2025-08-04,b5889350-e00d-491f-ab0c-2f3ed9ccf0cb,List heart scene religious as training.,0.98,account balance
Facebook,2025-07-31,f2ca8582-3a26-4720-b0bb-64751049459b,Cold challenge perform market bill doctor performance television entire interview avoid.,0.57,payment issues
Website,2025-07-29,62eefa5b-2cb5-4b16-804b-c06289ee832e,Poor road environmental explain cause dog onto.,-0.59,interest rates
Facebook,2025-07-30,8e51f9f1-6423-48ff-9ed4-7e142df6d3da,Good ask magazine well citizen without agent necessary daughter peace.,0.66,application status
Facebook,2025-08-04,dca580b2-d8c7-48cd-b20d-7e7ee1bd7957,Low appear trade involve throw article close build teach suggest exactly movement.,0.11,account balance
Facebook,2025-07-24,747dfd0c-7621-40f2-8781-08cf22c1ac3e,Sell ask ten activity white attack decide.,0.17,account balance
Instagram,2025-07-20,71a236a4-a886-4048-abdc-8a3042917ae6,Thing example around it second of scientist.,0.63,customer service
Instagram,2025-07-29,fe258bf7-a586-484b-9dcc-449e2fd7c533,Yard through claim reveal plant international might laugh care.,-0.53,interest rates
Facebook,2025-07-19,7193eb43-0507-47f0-9797-38e28eb7cb95,Doctor learn same establish charge wrong health successful write stock set.,0.55,account balance
Instagram,2025-08-03,76d480f1-4ca3-471c-9d26-9ba5af14e94d,Team member yard despite identify statement bar health soldier history bad with join teach.,0.58,customer service
Website,2025-07-24,e64ff6f8-29b1-4113-9c88-7001a9910d73,Wonder sound design move raise TV job agree magazine keep condition adult.,0.19,payment issues
Instagram,2025-07-19,07632ac9-8969-44b4-957b-2bf3a8158d62,Scene field next federal per live maintain season most Mrs why finally vote.,-0.45,account balance
Website,2025-07-17,1a418fb6-90a8-4491-bdfc-c6151bf79790,Beat else six what some though.,0.97,customer service
WhatsApp,2025-07-26,37af6901-5309-4282-9e4c-2d2d7935b848,Resource air education least whatever food we kid certain per defense right yet.,0.98,customer service
Facebook,2025-08-08,b03a63b7-ac7e-458a-a666-19475f43e469,Perform claim car left upon decade support response explain.,0.08,interest rates
Instagram,2025-07-15,b02c5d0c-e0e4-4604-82c9-ac0a5fc40262,Pass can nearly pay ground particularly spend spring interesting.,0.6,application status
Website,2025-07-28,91329071-2b52-4a49-a4f6-ce7afd873038,Billion window behind huge every get really sing cell.,-0.78,customer service
WhatsApp,2025-08-07,0a8437d2-6c7a-41a8-8f38-8bf4743956b0,Ball career card fact time interest.,0.73,account balance
WhatsApp,2025-08-02,40d4f8af-1355-488f-95a3-ce9c62345bb3,Important throw American hear speak charge seat show.,-0.74,loan approval
Instagram,2025-07-23,c9410fe2-c4b3-493e-a43d-5ed84045e792,Question day cover indicate must become dream than especially civil agency ability so.,-0.28,payment issues
Instagram,2025-07-20,1828b1d4-88e9-4acd-ac0a-d59b0eebf13e,Both strategy cold vote information road bag nation for city newspaper tell.,0.58,account balance
WhatsApp,2025-08-03,002aeed6-9359-474e-b3b3-6441e02edc82,Their benefit nice worry machine tend.,0.18,account balance
Facebook,2025-07-23,41098a33-a8fb-4ea5-bb13-7ef364e01de9,Stand you learn former Republican national which look.,-0.97,payment issues
Facebook,2025-08-10,5af87532-174c-486e-b3fb-b7cf289566e8,Herself charge describe relationship ever expert central skill.,-0.47,payment issues
Website,2025-08-07,f39484c8-2710-475c-b95f-da0e5d4e173e,Perform figure social reality free end somebody side culture.,-0.75,customer service
Facebook,2025-07-15,929d86aa-c080-4725-b088-d55a0a1a021d,Ten herself society floor may whether movement name detail per either brother move.,-0.16,account balance
WhatsApp,2025-07-23,ff34d7b8-e199-4422-800d-8d7e2c1f42d9,Space nature let outside society resource.,-0.77,customer service
WhatsApp,2025-07-16,63ab1a00-2e8d-4e25-a548-364e4218bce1,Itself final likely message quite according whatever water evidence my.,-0.87,interest rates
WhatsApp,2025-07-18,edab6231-1570-4570-836f-074e66a729aa,National huge nearly building about just hair hot term writer man north can.,-0.1,customer service
Facebook,2025-07-28,c58b3e4e-16b6-47b6-b522-c12da50cb92f,Serious receive physical seem million so capital ask sister let tough deep listen.,-0.28,interest rates
Website,2025-08-06,97633a1f-db53-44df-a87d-a3e5a53df3cf,Land actually power career relate commercial media over more but score page north.,0.19,application status
Facebook,2025-07-21,7aba2c6a-a9cf-4bb9-a058-756d7bfe8ae7,Wear travel space education news build focus drug.,-0.1,loan approval
Website,2025-07-21,c317017c-5d65-4a1e-a689-fd508ff6dbbc,Attack professional against know find watch ground resource realize.,-0.56,account balance
